label,x_centroid,y_centroid,area,integrated_intensity,intensity_uncertainty,ellipticity,elongation,snr_approx
135,2747.1879352487886,436.58290763048785,79.0,8.968959689093184,0.05906120909322238,0.37562236441466723,1.601594841017222,151.85872126214946
136,5188.1221290532185,438.2554511184097,134.0,21.041210373118616,0.05930633988913419,0.1902940344508932,1.235016218908359,354.7885506415088
137,4041.602145659794,438.7871630915391,35.0,3.0779841118777416,0.03289342638707038,0.31774459934344035,1.4657267630826565,93.57444480419419
138,1035.9437252539867,443.82537910301045,55.0,4.2525240498451335,0.04002160987941565,0.4250617838755383,1.7393173248089,106.25569692618332
139,4872.837010624578,445.61209288554943,53.0,4.608318655534668,0.03567480957937893,0.22209688859572707,1.285507134937148,129.17570436587303
140,1973.3930668519502,447.3258481870221,38.0,3.051061837353388,0.0343016672147354,0.22585414307990748,1.2917462401445368,88.94791667860113
141,4131.510677458971,446.3252141475302,29.0,2.480198410885545,0.029058858077336075,0.34887580081744973,1.5358053060467474,85.35085598631731
142,585.7396463371975,449.86225199277396,89.0,8.32909324438782,0.05206497328237172,0.4484107003078833,1.8129430729678313,159.974983550177
143,650.3505016174728,450.2311143935421,78.0,6.740219027620726,0.0489206811729771,0.3741169075152273,1.5977424730071763,137.77851955470933
144,3979.098696421996,448.87689179427036,50.0,5.05831445959194,0.03985481450051565,0.2467089283634485,1.3275081009887248,126.918529743163
145,4481.404180151933,449.3925409993997,24.0,2.004714042145866,0.027676721682424577,0.329912987545363,1.4923435037739927,72.433218975458
146,318.0609279753031,450.8803517704766,26.0,1.6884540181460457,0.02677111399384293,0.6071142790459347,2.5452693917499647,63.06999471648329
147,1590.6079690624344,454.52859943832306,69.0,6.096755235384246,0.04215847897398875,0.2647353528518257,1.3600545108195239,144.6151612620054
148,4346.517110988606,454.90752423643846,97.0,11.022513065241023,0.052519342189604454,0.27796085198443143,1.384966456110269,209.87530699542523
149,1534.7506772170625,458.4853021082132,157.0,21.231128714720736,0.05974885529925866,0.31797816458829575,1.4662287159711647,355.33950580948056
150,3590.0856197018556,456.9838230604657,69.0,8.155747890326037,0.04666928190662699,0.3034488698440335,1.435644788597339,174.75623273234743
151,532.4393356155823,458.06787965507533,44.0,2.993532720732266,0.03339407775045695,0.40720827934449355,1.6869331422075269,89.642622955542
152,2859.922590138853,458.2299997578517,76.0,10.479853800160656,0.06346565949849055,0.24075272483930588,1.3170939596567544,165.12636728229234
153,562.2384520383284,464.7537808635997,390.0,98.50819088916683,0.09511955779587447,0.18936312681807188,1.2335979685636307,1035.6249878764609
154,4241.523663726402,458.10154127214537,20.0,1.5984821267767457,0.02402122526685073,0.4370532559302046,1.776366966385754,66.54457085428734
155,3866.326344978432,461.9565436130076,68.0,7.140690119933163,0.04754412704646647,0.3493203378021412,1.5368545508587292,150.1907925021807
156,3939.7932643467966,462.3665509195342,86.0,10.8625448295019,0.05251514285308317,0.2424321849427381,1.3200138391893186,206.84595412586143
157,2199.2586734727615,470.3332729625499,331.0,107.43473280963853,0.08941922306407386,0.342754865047997,1.5215023235935061,1201.472447738173
158,3033.480549026161,463.07043241324425,43.0,4.745639987018458,0.0438075768562219,0.2665713595274226,1.3634591626469075,108.32920530148986
159,4123.056604984534,464.290597792046,39.0,3.2861787684195933,0.033320632225810144,0.3475681197447906,1.5327270635653696,98.62294167017998
160,524.5809938335661,467.7234445339375,110.0,10.730903644194143,0.04880066468415062,0.4225828044714416,1.731850051823649,219.89257141571895
161,592.729368583008,468.4730899542611,40.0,2.3126365115501537,0.02978608641734908,0.4060169125372466,1.683549618006096,77.64150278578207
162,4160.794414840832,475.89825338399953,329.0,124.39427771989241,0.09641047988050008,0.1765245691913292,1.2143653138721797,1290.2568048004532
163,4099.619697859707,473.7550847085009,55.0,4.939593322261949,0.039515229987303065,0.3028703867755014,1.4344534804289932,125.00479748818688
164,545.9607140275174,476.09703120305016,87.0,5.829972114872065,0.04151930668022825,0.4295989766262567,1.7531525348347263,140.4159313105374
165,813.0474260391812,477.3490367477451,31.0,1.6997599932476057,0.022311643843883643,0.4986240033639703,1.99451111881996,76.18264280036749
166,2084.158729156815,482.1071701891944,228.0,49.57925010669459,0.07083352660184192,0.3219430218076369,1.474802313318723,699.9404446623353
167,3240.4917615968984,477.89645243111136,60.0,7.546712491333319,0.04828258385078496,0.30817889772154083,1.4454603895524112,156.30299560305383
168,2024.2007905776375,481.4092396288401,44.0,2.9350298335601717,0.030181335315402253,0.346605136351281,1.5304681068592305,97.24652017176841
169,4038.95867812428,485.09611399919,192.0,43.4932384005411,0.07450936205138584,0.2182534726222476,1.279187006246571,583.7285034133795
170,3059.8109907511644,483.1522948966755,65.0,7.147386113722854,0.05211990887018942,0.0968218998682957,1.1072013369834552,137.1335113329579
171,3721.951123602731,486.13541235547876,51.0,5.2496029912464515,0.03958475871204586,0.32798802402391336,1.488068718637813,132.6167737798783
172,599.6186173725088,488.9898819929405,67.0,3.7173637888601156,0.03521694315630383,0.36110636727897494,1.5652057694502854,105.55611747337893
173,624.4314915739361,488.0258097629868,55.0,3.3196442576012646,0.032073008892347696,0.4015911388960669,1.6710982490386577,103.5027386655107
174,2428.8701027764205,489.15082418542784,93.0,9.463059497453912,0.04702976079354506,0.2071726182953254,1.261308606483645,201.2142808677168
175,5133.869627032925,487.077510457668,33.0,2.7016524352399336,0.028826126279622437,0.38688627793428687,1.631018788212378,93.72235481913388
176,585.3279089006103,495.37662800989006,370.0,112.51720844460036,0.0818168893078304,0.3908890475505665,1.6417370201252734,1375.2320504543031
177,3296.770446127333,488.64415134857677,42.0,4.095662531966511,0.03832742169160647,0.30040558081816526,1.42939962438449,106.85984997690159
178,3903.766570307938,487.9605903176816,40.0,3.952290845616663,0.03571475869565439,0.3706252003856343,1.5888783608951706,110.66267811848775
179,1113.4454551060564,494.88632332513396,109.0,8.893333155123907,0.04063345569963472,0.26846463814047616,1.3669879162889043,218.86726102904055
180,356.4732906214859,494.5384469518771,75.0,5.030106360815278,0.035224441670775146,0.376399884599261,1.6035917494296459,142.8015923667183
181,3976.8395482448964,496.57322522133217,50.0,4.784861043444439,0.03879809729854843,0.3966686268689006,1.657463948560002,123.32720871916204
182,4289.30785157797,502.20020270671455,114.0,10.899088140081457,0.05721372973044035,0.5039242357786677,2.015821114683268,190.49777372375422
183,1463.582127332758,497.95587159554253,33.0,1.696186863827749,0.022357718292337465,0.25998786107308325,1.3513291842078277,75.86583038793694
184,2231.4779433643957,499.7944580984813,48.0,3.6195720045983144,0.03158435000772136,0.15516363255101895,1.1836611662676668,114.60017393783455
185,516.9020353109851,504.68077803474216,176.0,22.571355491454504,0.055062509291325036,0.3982861522250558,1.661919538162307,409.9223915138674
186,5076.314129187786,502.453373330102,54.0,4.765952321608381,0.03677045040879803,0.24902019553606036,1.3315937313571498,129.61365086972216
187,425.1569625915139,510.185083503292,110.0,6.019173839385595,0.04269585549131853,0.5624480879985896,2.28544310416995,140.9779420067948
188,569.1922295511947,503.93925410545563,26.0,1.2568076088802884,0.02150119764405074,0.2356757392899691,1.3083452291191628,58.452911772011916
189,2758.375856169547,505.8947018972376,57.0,6.1052166849251055,0.04427838354678694,0.22874055853639186,1.296580561921309,137.88255568259402
190,673.1541580130715,509.9897644680535,172.0,20.60131136570725,0.0555183089664218,0.35050176613146644,1.5396500680899656,371.07238583522405
191,2579.945159978302,507.5726279100956,79.0,9.032510905684164,0.04911543127578045,0.20668467128203394,1.2605328093383066,183.90372783183176
192,3113.909666544682,508.58536750857,96.0,14.182918827909202,0.061293848005176954,0.2522491446529743,1.3373438396615505,231.3922080191685
193,2275.2272597387596,506.01249315686664,25.0,1.473322099615373,0.0232119192132669,0.22902848072293402,1.2970647747632653,63.47265325537096
194,556.1373932742478,511.34811730521807,157.0,9.499634461918221,0.053052529832545756,0.3747534755417544,1.5993691462203092,179.06091362471744
195,3444.0240078118736,509.5925168497597,92.0,11.896090478318433,0.05292266507671131,0.2628053715831651,1.3564938775361857,224.78252864014067
196,3328.2738860773625,508.388850106779,28.0,2.3997014028054053,0.03034013873805004,0.2977984237722563,1.424092502571757,79.0932903611249
197,608.1338232311356,512.1568484174358,73.0,3.7154887785180613,0.03659224637579356,0.16989054487728295,1.2046604141524537,101.5375973467408
